ID,Participant,X1_Exp1.Test,X2_Exp1.Test,X3_Exp1.Test,X4_Exp1.Test,X5_Exp1.Test,X6_Exp1.Test,X7_Exp1.Test,Exp2.CC1,Exp2.CC2,Exp2.CC3,X1_Exp2.TestA.Test,X2_Exp2.TestA.Test,X3_Exp2.TestA.Test,X4_Exp2.TestA.Test,X5_Exp2.TestA.Test,X6_Exp2.TestA.Test,X7_Exp2.TestA.Test,X1_Exp2.TestB.Test,X2_Exp2.TestB.Test,X3_Exp2.TestB.Test,X4_Exp2.TestB.Test,X5_Exp2.TestB.Test,X6_Exp2.TestB.Test,X7_Exp2.TestB.Test,Exp3.CC1,Exp3.CC2,Exp3.CC3,X1_Exp3.TestA.Test,X2_Exp3.TestA.Test,X3_Exp3.TestA.Test,X4_Exp3.TestA.Test,X5_Exp3.TestA.Test,X6_Exp3.TestA.Test,X1_Exp3.TestB.Test,X2_Exp3.TestB.Test,X3_Exp3.TestB.Test,X4_Exp3.TestB.Test,X5_Exp3.TestB.Test,X6_Exp3.TestB.Test,Exp4.CC3,Exp4.CC1,Exp4.CC2,X1_Exp4.TestA.Test,X2_Exp4.TestA.Test,X3_Exp4.TestA.Test,X4_Exp4.TestA.Test,X5_Exp4.TestA.Test,X6_Exp4.TestA.Test,X7_Exp4.TestA.Test,X1_Exp4.TestB.Test,X2_Exp4.TestB.Test,X3_Exp4.TestB.Test,X4_Exp4.TestB.Test,X5_Exp4.TestB.Test,X6_Exp4.TestB.Test,X7_Exp4.TestB.Test,X1_Compare.TestB.Test,X2_Compare.TestB.Test,X3_Compare.TestB.Test,X4_Compare.TestB.Test,X5_Compare.TestB.Test,X6_Compare.TestB.Test,Age_Months,Age_Years,Sex,Version,,,,
1,A1,,,,,,,,32,100,51,50,100,35,52,1,24,92,,,,,,,,50,51,49,51,51,51,51,51,51,,,,,,,48,51,51,51,50,56,72,51,51,50,,,,,,,,,,,,,,77,6,F,1,,,,
2,A2,,,,,,,,0,100,51,96,1,0,0,100,0,0,,,,,,,,51,48,0,0,0,0,0,0,0,,,,,,,0,38,100,,,,,,,,,,,,,,,,,,,,,76.2,6,F,1,,,,
3,A3,,,,,,,,42,100,51,78,97,100,28,0,65,21,,,,,,,,70,51,2,,,,,,,71,31,51,24,85,73,12,51,100,0,16,67,51,81,100,100,,,,,,,,,,,,,,83.7,6,M,1,,,,
4,A4,,,,,,,,61,100,51,,,,,,,,24,28,73,80,89,59,51,56,49,0,,,,,,,20,41,41,3,31,100,1,51,100,65,51,57,51,64,80,100,,,,,,,,,,,,,,79.4,6,M,1,,,,
5,A5,,,,,,,,41,100,51,0,0,26,51,100,100,64,,,,,,,,67,51,0,28,62,100,28,51,67,,,,,,,1,50,99,,,,,,,,100,100,62,46,31,0,51,,,,,,,79.53333333,6,M,1,,,,
6,A6,,,,,,,,36,100,54,,,,,,,,68,29,62,41,51,79,34,71,52,0,,,,,,,51,72,51,40,61,35,14,51,100,67,19,37,14,52,15,51,,,,,,,,,,,,,,85.38709677,7,F,1,,,,
7,A7,,,,,,,,34,100,49,27,36,41,51,65,72,69,,,,,,,,72,51,0,38,71,36,39,39,49,,,,,,,15,52,100,,,,,,,,0,21,23,51,38,82,100,,,,,,,73.70967742,6,F,1,,,,
8,A8,,,,,,,,38,100,51,,,,,,,,58,61,58,51,37,46,47,75,51,0,,,,,,,0,39,61,58,72,75,20,,100,0,10,25,51,81,100,100,,,,,,,,,,,,,,94.35483871,7,M,1,,,,
9,B1,,,,,,,,44,100,51,,,,,,,,,,,,,,,59,51,1,,,,,,,,,,,,,100,33,51,,,,,,,,0,80,66,49,19,16,0,,,,,,,87.32258065,7,F,2,,,,
10,B2,,,,,,,,30,100,51,,,,,,,,,,,,,,,61,49,0,,,,,,,,,,,,,100,7,51,,,,,,,,0,79,63,48,25,12,0,,,,,,,84.48387097,7,M,2,,,,
11,B3,,,,,,,,25,100,51,,,,,,,,,,,,,,,41,51,100,,,,,,,,,,,,,100,18,51,,,,,,,,100,75,31,73,22,22,1,,,,,,,83.35483871,6,M,2,,,,
12,B4,,,,,,,,39,100,51,,,,,,,,,,,,,,,41,51,100,41,30,32,40,33,32,,,,,,,100,3,51,100,65,66,51,38,81,0,,,,,,,,,,,,,,94.35483871,7,M,2,,,,
13,B5,,,,,,,,32,100,51,,,,,,,,,,,,,,,29,51,100,28,51,30,30,51,1,,,,,,,100,22,51,,,,,,,,100,51,38,51,51,22,0,,,,,,,94.35483871,7,F,2,,,,
14,B6,,,,,,,,40,100,53,0,51,34,100,70,53,56,,,,,,,,30,48,100,,,,,,,52,52,51,51,51,51,100,27,51,,,,,,,,51,0,31,51,100,100,100,,,,,,,92.22580645,7,F,2,,,,
15,B7,,,,,,,,37,100,51,,,,,,,,80,71,76,51,67,31,30,38,51,100,33,41,34,32,47,41,,,,,,,100,29,51,100,91,62,34,20,45,0,,,,,,,,,,,,,,95.03225806,7,F,2,,,,
16,B8,,,,,,,,31,100,51,,,,,,,,99,71,100,51,100,0,1,31,52,100,51,34,32,31,50,0,,,,,,,100,26,51,100,65,23,33,76,0,0,,,,,,,,,,,,,,94.58064516,7,M,2,,,,
17,B9,,,,,,,,0,100,51,0,0,0,51,100,100,100,,,,,,,,29,51,100,,,,,,,51,0,0,73,30,31,100,20,51,,,,,,,,78,33,51,100,51,81,79,,,,,,,82.12903226,6,M,2,,,,
18,B11,,,,,,,,31,100,51,23,38,79,24,42,66,80,,,,,,,,29,51,100,31,10,32,89,69,51,,,,,,,100,25,52,,,,,,,,9,64,51,37,51,78,100,,,,,,,90.83870968,7,F,2,,,,
19,B12,,,,,,,,31,100,50,,,,,,,,100,100,33,100,33,0,33,29,50,100,29,29,71,71,50,100,,,,,,,100,22,49,,,,,,,,100,36,50,64,78,50,100,,,,,,,102.9677419,8,F,2,,,,
20,B13,,,,,,,,32,100,51,,,,,,,,93,97,73,72,25,22,32,34,51,96,17,31,51,31,51,29,,,,,,,100,21,50,0,22,35,51,79,93,21,,,,,,,,,,,,,,81.4516129,6,M,2,,,,
21,B14,,,,,,,,31,100,,0,0,0,51,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.70967742,8,M,2,,,,
22,B15,,,,,,,,39,100,,0,30,11,51,86,74,92,,,,,,,,31,51,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.38709677,8,M,2,,,,
23,B16,,,,,,,,38,100,51,43,100,24,55,45,45,36,,,,,,,,43,51,100,,,,,,,100,74,68,53,37,51,100,36,51,100,67,21,20,19,0,0,,,,,,,,,,,,,,72.32258065,6,F,2,,,,
24,B17,,,,,,,,39,100,51,,,,,,,,100,62,59,35,41,0,34,39,51,100,,,,,,,43,0,36,53,46,30,100,9,51,,,,,,,,39,51,51,66,38,22,6,,,,,,,76.74193548,6,F,2,,,,
25,B18,,,,,,,,47,100,51,,,,,,,,100,60,59,41,51,32,47,46,51,100,51,8,65,51,0,67,,,,,,,100,24,51,100,16,51,51,38,2,0,,,,,,,,,,,,,,74.38709677,6,F,2,,,,
26,B19,,,,,,,,37,100,51,0,30,39,64,100,100,100,,,,,,,,34,51,100,41,37,39,43,61,60,,,,,,,100,15,51,,,,,,,,100,47,78,49,51,0,0,,,,,,,80.16129032,6,M,2,,,,
27,C1,,,,,,,,41,100,51,,,,,,,,100,83,77,15,97,93,51,100,34,51,,,,,,,,,,,,,100,20,51,100,65,51,21,51,0,0,,,,,,,,100,66,68,51,59,51,78.29032258,6,F,3,,,,
28,C2,,,,,,,,35,100,51,,,,,,,,59,66,63,40,33,42,36,100,46,51,,,,,,,,,,,,,100,40,51,,,,,,,,100,65,54,51,0,7,0,80,85,75,69,83,82,83.29032258,6,F,3,,,,
29,C3,,,,,,,,0,100,53,0,0,0,100,100,100,100,,,,,,,,100,30,51,,,,,,,,,,,,,100,39,35,0,51,35,38,100,100,49,,,,,,,,0,0,0,0,0,0,83.48602151,6,M,3,,,,
30,C4,,,,,,,,1,100,2,,,,,,,,100,100,100,69,2,3,0,100,51,51,,,,,,,,,,,,,100,0,51,,,,,,,,1,0,0,78,100,80,95,2,1,1,100,51,0,75.13225806,6,F,3,,,,
31,D1,,,,,,,,35,100,51,,,,,,,,100,100,100,51,27,30,30,31,51,100,60,51,19,42,35,28,,,,,,,100,29,51,77,51,36,51,37,0,0,,,,,,,,,,,,,,88.83333333,7,F,4,,,,
32,D2,,,,,,,,31,100,51,30,31,31,31,67,72,72,,,,,,,,37,51,100,71,50,27,19,0,0,,,,,,,100,35,51,,,,,,,,100,80,73,51,20,34,0,,,,,,,72.59032258,6,M,4,,,,
33,D3,51,72,100,71,100,100,100,33,100,51,,,,,,,,100,73,70,51,33,32,34,29,51,100,,,,,,,32,30,30,0,9,0,100,51,24,100,30,13,44,36,0,0,,,,,,,,,,,,,,90.35483871,7,M,4,,,,
34,D4,51,71,70,82,100,100,100,31,100,51,0,37,32,51,71,100,100,,,,,,,,38,50,100,,,,,,,0,31,42,44,72,51,100,18,51,,,,,,,,100,78,64,50,51,19,0,,,,,,,94.5483871,7,M,4,,,,
35,D5,20,50,51,61,70,72,100,32,100,49,,,,,,,,100,100,100,100,0,0,0,29,51,99,38,28,28,39,51,0,,,,,,,100,20,51,100,100,100,100,100,100,100,,,,,,,,,,,,,,73.64516129,6,F,4,,,,
36,D6,100,100,100,100,100,100,100,30,99,53,,,,,,,,31,100,100,1,0,100,0,22,51,100,,,,,,,76,51,32,3,8,4,99,24,53,,,,,,,,0,0,24,77,100,38,100,,,,,,,72.74516129,6,M,4,,,,