"","ID","CC1","CC2","CC3","CC4","CC5","CC6","Exp1.CC1","Exp1.CC2","Exp1.CC3","X1_Exp1.Test.Jump","X2_Exp1.Test.Jump","X3_Exp1.Test.Jump","X4_Exp1.Test.Jump","X5_Exp1.Test.Jump","X6_Exp1.Test.Jump","X7_Exp1.Test.Jump","X1_Exp1.Test.Fall","X2_Exp1.Test.Fall","X3_Exp1.Test.Fall","X4_Exp1.Test.Fall","X5_Exp1.Test.Fall","X6_Exp1.Test.Fall","X7_Exp1.Test.Fall","Exp2.CC1","Exp2.CC2","Exp2.CC3","X1_Exp2.Test","X2_Exp2.Test","X3_Exp2.Test","X4_Exp2.Test","X5_Exp2.Test","X6_Exp2.Test","X7_Exp2.Test","Exp3.CC1","Exp3.CC2","Exp3.CC3","X1_Exp3.Test","X2_Exp3.Test","X3_Exp3.Test","X4_Exp3.Test","X5_Exp3.Test","Exp4.CC1","Exp4.CC2","Exp4.CC3","X1_Exp4.Test","X2_Exp4.Test","X3_Exp4.Test","X4_Exp4.Test","X5_Exp4.Test","X6_Exp4.Test","X7_Exp4.Test","AC","AC_check","Age","Sex","Order_Exps1","Order_Exp2","Order_Exp3","Order_Exp4","Order_Exps","Version","Duration","group","Age_Months","Age_Years"
"30","30","deeper","deeper","deeper","No!","No!","to find out what objects she likes.",30,51,100,31,46,46,59,54,57,51,51,53,71,77,70,93,85,32,99,51,0,0,19,51,83,86,93,34,51,100,49,44,33,51,49,98,7,51,78,85,35,51,49,4,66,"Wendi's favorite gelato flavor is sea salt caramel",0,63,"female","|Exp1A.6|Exp1A.7|Exp1A.2|Exp1A.1|Exp1A.4|Exp1A.3|Exp1A.5","|Exp2A.3|Exp2A.2|Exp2A.5|Exp2A.4|Exp2A.1","|Exp3A.1|Exp3A.5|Exp3A.7|Exp3A.6|Exp3A.2|Exp3A.4|Exp3A.3","|Exp4A.7|Exp4A.5|Exp4A.1|Exp4A.4|Exp4A.6|Exp4A.3|Exp4A.2",2,"A",862,"adults",NA,NA
"31","31","deeper","deeper","deeper","No!","No!","I have to find the object which weendi likes.",72,52,0,69,71,32,69,75,31,32,52,0,27,31,73,0,0,32,100,52,100,72,73,51,33,31,32,73,52,0,72,31,72,73,51,100,27,51,29,82,70,57,76,17,0,"Wendi's favorite gelato flavor is sea salt caramel",0,29,"female","|Exp1B.2|Exp1B.6|Exp1B.4|Exp1B.7|Exp1B.5|Exp1B.1|Exp1B.3","|Exp2B.5|Exp2B.1|Exp2B.4|Exp2B.2|Exp2B.3","|Exp3B.1|Exp3B.4|Exp3B.5|Exp3B.7|Exp3B.2|Exp3B.3|Exp3B.6","|Exp4B.5|Exp4B.3|Exp4B.2|Exp4B.1|Exp4B.4|Exp4B.6|Exp4B.7",1,"B",850,"adults",NA,NA
"32","32","deeper","deeper","deeper","No!","No!","to help wendi jump across the cliffs",71,51,8,55,65,66,73,82,81,93,43,39,36,32,30,16,13,33,91,51,92,79,70,51,23,19,17,68,50,9,61,67,68,76,81,97,20,51,0,9,39,45,41,81,99,"Wendi's favorite gelato flavor is sea salt caramel",0,50,"male","|Exp1B.4|Exp1B.2|Exp1B.1|Exp1B.5|Exp1B.6|Exp1B.7|Exp1B.3","|Exp2B.3|Exp2B.2|Exp2B.5|Exp2B.1|Exp2B.4","|Exp3B.7|Exp3B.6|Exp3B.2|Exp3B.4|Exp3B.3|Exp3B.5|Exp3B.1","|Exp4B.1|Exp4B.3|Exp4B.6|Exp4B.2|Exp4B.5|Exp4B.7|Exp4B.4",1,"B",647,"adults",NA,NA
"33","33","deeper","deeper","deeper","No!","No!","To find out which objects she like and which cliffs she will jump",30,51,100,31,32,62,78,76,82,72,NA,72,71,89,95,100,100,31,100,51,0,0,6,51,100,100,90,30,51,100,40,31,30,31,19,100,22,51,95,72,36,21,22,1,6,"Wendi's favorite gelato flavor is sea salt caramel",0,69,"female","|Exp1A.3|Exp1A.7|Exp1A.4|Exp1A.2|Exp1A.6|Exp1A.1|Exp1A.5","|Exp2A.2|Exp2A.4|Exp2A.1|Exp2A.5|Exp2A.3","|Exp3A.3|Exp3A.4|Exp3A.6|Exp3A.1|Exp3A.5|Exp3A.7|Exp3A.2","|Exp4A.7|Exp4A.1|Exp4A.6|Exp4A.2|Exp4A.3|Exp4A.4|Exp4A.5",3,"A",895,"adults",NA,NA
"34","34","deeper","deeper","deeper","No!","No!","to figure out which objects wendy likes and which cliff she wants to jump over",28,51,95,30,37,56,51,66,72,64,83,71,63,64,94,90,100,31,93,51,7,32,22,51,82,87,84,30,51,93,28,66,30,28,25,100,24,51,15,24,29,52,69,78,97,"Wendi's favorite gelato flavor is sea salt caramel",0,31,"female","|Exp1A.5|Exp1A.4|Exp1A.3|Exp1A.2|Exp1A.6|Exp1A.1|Exp1A.7","|Exp2A.4|Exp2A.3|Exp2A.2|Exp2A.5|Exp2A.1","|Exp3A.5|Exp3A.6|Exp3A.4|Exp3A.7|Exp3A.3|Exp3A.2|Exp3A.1","|Exp4A.1|Exp4A.5|Exp4A.2|Exp4A.7|Exp4A.4|Exp4A.3|Exp4A.6",1,"A",915,"adults",NA,NA
"35","35","deeper","deeper","deeper","No!","No!","to guess what Wendi likes",71,52,6,85,74,73,68,64,35,75,12,35,32,32,34,20,31,30,100,51,75,71,73,52,51,21,25,72,51,2,65,72,72,68,73,100,6,52,16,19,13,51,76,93,82,"Wendi's favorite gelato flavor is sea salt caramel.",1,38,"male","|Exp1B.5|Exp1B.3|Exp1B.2|Exp1B.1|Exp1B.7|Exp1B.6|Exp1B.4","|Exp2B.5|Exp2B.4|Exp2B.3|Exp2B.2|Exp2B.1","|Exp3B.7|Exp3B.3|Exp3B.4|Exp3B.1|Exp3B.6|Exp3B.2|Exp3B.5","|Exp4B.2|Exp4B.6|Exp4B.5|Exp4B.7|Exp4B.1|Exp4B.4|Exp4B.3",1,"B",960,"adults",NA,NA
"36","36","deeper","deeper","deeper","No!","No!","to decide which cliff Wendy wants to jump",29,51,99,29,51,71,70,99,98,99,51,51,70,94,97,98,97,29,100,51,0,1,31,51,68,68,99,28,51,99,30,24,15,26,4,100,29,51,92,62,18,32,10,1,0,"Wendi's favorite gelato flavor is sea salt caramel",0,58,"male","|Exp1A.5|Exp1A.1|Exp1A.7|Exp1A.3|Exp1A.6|Exp1A.2|Exp1A.4","|Exp2A.3|Exp2A.1|Exp2A.5|Exp2A.2|Exp2A.4","|Exp3A.2|Exp3A.3|Exp3A.7|Exp3A.4|Exp3A.5|Exp3A.6|Exp3A.1","|Exp4A.7|Exp4A.4|Exp4A.2|Exp4A.1|Exp4A.3|Exp4A.5|Exp4A.6",3,"A",1037,"adults",NA,NA
"37","37","deeper","deeper","deeper","No!","No!","to see which things she likes",70,50,10,54,60,62,55,59,60,54,42,43,45,43,46,44,24,31,88,51,96,66,70,51,36,23,28,72,50,4,62,49,58,61,62,97,4,50,97,94,78,50,67,37,10,"Wedni's favorite gelato flavor is sea salt caramel",2,33,"male","|Exp1B.6|Exp1B.1|Exp1B.4|Exp1B.7|Exp1B.2|Exp1B.3|Exp1B.5","|Exp2B.2|Exp2B.5|Exp2B.4|Exp2B.1|Exp2B.3","|Exp3B.6|Exp3B.4|Exp3B.2|Exp3B.5|Exp3B.1|Exp3B.3|Exp3B.7","|Exp4B.1|Exp4B.2|Exp4B.7|Exp4B.4|Exp4B.6|Exp4B.3|Exp4B.5",2,"B",409,"adults",NA,NA
"38","38","deeper","deeper","deeper","No!","No!","Determine which objects Wendi likes enough to jump over cliffs to reach",31,51,100,25,34,45,64,97,92,91,73,70,82,73,92,95,97,29,100,50,17,28,33,68,70,71,68,29,51,99,45,33,39,32,30,100,32,51,81,71,53,50,34,18,0,"Wendi's favorite gelato flavor is sea salt caramel",0,47,"male","|Exp1A.4|Exp1A.1|Exp1A.7|Exp1A.5|Exp1A.6|Exp1A.2|Exp1A.3","|Exp2A.1|Exp2A.5|Exp2A.3|Exp2A.2|Exp2A.4","|Exp3A.6|Exp3A.1|Exp3A.3|Exp3A.5|Exp3A.7|Exp3A.2|Exp3A.4","|Exp4A.1|Exp4A.2|Exp4A.3|Exp4A.7|Exp4A.5|Exp4A.4|Exp4A.6",1,"A",418,"adults",NA,NA
"39","39","deeper","deeper","deeper","No!","No!","to find out which wendi cliff",71,51,0,100,72,100,71,72,100,75,29,29,29,31,28,51,28,31,100,51,69,51,32,51,100,68,0,72,51,0,70,30,51,51,51,100,22,51,100,80,65,51,23,20,0,"wendi's favourite gelato flavor is sea salt caramel",2,36,"male","|Exp1B.5|Exp1B.4|Exp1B.7|Exp1B.3|Exp1B.1|Exp1B.2|Exp1B.6","|Exp2B.4|Exp2B.1|Exp2B.5|Exp2B.3|Exp2B.2","|Exp3B.7|Exp3B.5|Exp3B.2|Exp3B.1|Exp3B.6|Exp3B.3|Exp3B.4","|Exp4B.1|Exp4B.2|Exp4B.7|Exp4B.3|Exp4B.6|Exp4B.4|Exp4B.5",2,"B",1032,"adults",NA,NA
"40","40","deeper","deeper","deeper","No!","No!","to see what she likes and how to get to them",71,50,9,90,51,30,21,10,19,9,29,35,26,18,7,19,10,30,90,51,83,82,69,52,31,28,17,70,50,9,72,65,67,61,64,94,21,51,0,5,7,51,41,79,81,"Wendi's favorite gelato flavor is sea salt caramel",0,38,"male","|Exp1B.5|Exp1B.7|Exp1B.1|Exp1B.2|Exp1B.4|Exp1B.6|Exp1B.3","|Exp2B.4|Exp2B.5|Exp2B.1|Exp2B.3|Exp2B.2","|Exp3B.3|Exp3B.1|Exp3B.6|Exp3B.2|Exp3B.4|Exp3B.5|Exp3B.7","|Exp4B.2|Exp4B.3|Exp4B.4|Exp4B.5|Exp4B.7|Exp4B.1|Exp4B.6",3,"B",967,"adults",NA,NA
"41","41","deeper","deeper","deeper","No!","No!","to pick what objects Wendy Likes",71,51,0,29,31,20,20,0,0,0,30,29,19,19,0,2,0,30,98,49,90,81,74,51,23,21,24,70,50,1,100,71,72,84,67,98,27,49,0,11,9,51,76,89,85,"Wendi's favorite gelato flavor is sea salt caramel",0,60,"male","|Exp1B.4|Exp1B.2|Exp1B.5|Exp1B.3|Exp1B.6|Exp1B.1|Exp1B.7","|Exp2B.3|Exp2B.2|Exp2B.4|Exp2B.5|Exp2B.1","|Exp3B.5|Exp3B.2|Exp3B.3|Exp3B.6|Exp3B.1|Exp3B.4|Exp3B.7","|Exp4B.6|Exp4B.7|Exp4B.1|Exp4B.3|Exp4B.2|Exp4B.4|Exp4B.5",3,"B",677,"adults",NA,NA
"42","42","deeper","deeper","deeper","No!","No!","To know what Wendi likes",30,51,100,0,0,0,40,44,28,43,70,75,63,71,100,98,100,33,100,51,0,0,0,51,100,70,71,31,51,100,46,31,37,17,22,100,24,51,79,66,67,51,36,34,22,"Wendi's favorite gelato flavor is sea salt caramel",0,48,"male","|Exp1A.6|Exp1A.1|Exp1A.2|Exp1A.5|Exp1A.3|Exp1A.4|Exp1A.7","|Exp2A.2|Exp2A.3|Exp2A.1|Exp2A.4|Exp2A.5","|Exp3A.1|Exp3A.4|Exp3A.6|Exp3A.7|Exp3A.2|Exp3A.3|Exp3A.5","|Exp4A.6|Exp4A.3|Exp4A.5|Exp4A.7|Exp4A.4|Exp4A.2|Exp4A.1",2,"A",1146,"adults",NA,NA
"43","43","deeper","deeper","deeper","No!","No!","to find out which cliffs wendy wants to jump and which items she likes",30,51,100,8,18,51,37,51,69,62,51,64,58,70,100,92,100,30,100,51,11,21,31,51,70,72,72,30,51,100,26,29,28,20,20,100,21,51,100,51,36,51,32,15,0,"Wendi's favorite gelato flavor is sea salt caramel",0,52,"male","|Exp1A.4|Exp1A.3|Exp1A.1|Exp1A.5|Exp1A.6|Exp1A.7|Exp1A.2","|Exp2A.1|Exp2A.4|Exp2A.2|Exp2A.5|Exp2A.3","|Exp3A.2|Exp3A.3|Exp3A.1|Exp3A.7|Exp3A.6|Exp3A.4|Exp3A.5|Exp3A.5","|Exp4A.6|Exp4A.1|Exp4A.7|Exp4A.5|Exp4A.4|Exp4A.2|Exp4A.3",1,"A",473,"adults",NA,NA
"44","44","deeper","deeper","deeper","No!","No!","To figure out which objects she likes",70,50,9,9,9,8,8,9,8,9,9,9,8,9,10,10,10,32,100,50,50,50,50,49,49,50,49,70,49,10,58,61,64,65,66,100,26,50,0,18,31,50,71,79,93,"Wendi's favorite gelato flavor is sea salt caramel",0,25,"female","|Exp1B.6|Exp1B.1|Exp1B.4|Exp1B.2|Exp1B.7|Exp1B.5|Exp1B.3","|Exp2B.3|Exp2B.4|Exp2B.2|Exp2B.1|Exp2B.5","|Exp3B.3|Exp3B.7|Exp3B.4|Exp3B.5|Exp3B.6|Exp3B.1|Exp3B.2","|Exp4B.4|Exp4B.1|Exp4B.7|Exp4B.6|Exp4B.3|Exp4B.5|Exp4B.2",3,"B",785,"adults",NA,NA
"45","45","deeper","deeper","deeper","No!","No!","To figure out which objects Wendi likes",70,50,10,50,51,29,28,9,9,8,21,30,8,4,1,0,0,31,100,50,100,89,75,51,13,14,28,70,51,9,65,70,69,66,61,94,21,50,0,23,1,50,66,81,100,"Wendi's favorite gelato flavor is sea salt caramel",0,38,"female","|Exp1B.1|Exp1B.2|Exp1B.3|Exp1B.7|Exp1B.4|Exp1B.6|Exp1B.5","|Exp2B.2|Exp2B.3|Exp2B.4|Exp2B.1|Exp2B.5","|Exp3B.7|Exp3B.6|Exp3B.3|Exp3B.1|Exp3B.2|Exp3B.5|Exp3B.4","|Exp4B.4|Exp4B.1|Exp4B.3|Exp4B.5|Exp4B.2|Exp4B.7|Exp4B.6",2,"B",1357,"adults",NA,NA
"46","46","deeper","deeper","deeper","No!","No!","To figure out which objects Wendy likes, and will jump for.",68,48,0,77,64,44,30,38,24,27,50,47,27,12,19,5,0,33,100,49,100,76,88,48,35,33,25,69,51,0,73,68,72,70,69,100,20,50,0,13,30,49,68,82,100,"Wendi's favorite gelato flavor is sea salt caramel",0,33,"male","|Exp1B.3|Exp1B.4|Exp1B.1|Exp1B.7|Exp1B.5|Exp1B.2|Exp1B.6","|Exp2B.4|Exp2B.3|Exp2B.5|Exp2B.2|Exp2B.1","|Exp3B.2|Exp3B.1|Exp3B.6|Exp3B.3|Exp3B.4|Exp3B.7|Exp3B.5","|Exp4B.3|Exp4B.6|Exp4B.4|Exp4B.2|Exp4B.7|Exp4B.1|Exp4B.5",2,"B",1430,"adults",NA,NA
"47","47","deeper","deeper","deeper","No!","No!","choose which cliff and which object will be chosen",29,51,91,32,83,30,30,28,13,29,94,93,82,71,92,95,79,32,94,53,30,15,91,70,54,50,31,30,51,96,96,71,93,83,72,96,11,53,36,72,38,64,53,53,32,"Wendi's favorite gelato flavor is sea salt caramel",0,50,"female","|Exp1A.1|Exp1A.6|Exp1A.4|Exp1A.7|Exp1A.3|Exp1A.2|Exp1A.5","|Exp2A.2|Exp2A.5|Exp2A.1|Exp2A.3|Exp2A.4","|Exp3A.6|Exp3A.7|Exp3A.3|Exp3A.1|Exp3A.5|Exp3A.2|Exp3A.4","|Exp4A.1|Exp4A.3|Exp4A.4|Exp4A.5|Exp4A.2|Exp4A.6|Exp4A.7",2,"A",1152,"adults",NA,NA
"48","48","deeper","deeper","deeper","No!","No!","To see what cliffs Wendi will jump and what items she likes.",71,50,0,91,71,60,39,10,3,0,61,56,50,22,10,0,0,32,100,50,100,85,75,50,27,14,13,71,50,0,56,30,71,81,81,100,7,51,0,10,37,36,65,68,94,"Wendi's favorite gelato flavor is sea salt caramel",0,64,"female","|Exp1B.6|Exp1B.7|Exp1B.1|Exp1B.2|Exp1B.5|Exp1B.3|Exp1B.4","|Exp2B.3|Exp2B.5|Exp2B.1|Exp2B.4|Exp2B.2","|Exp3B.4|Exp3B.7|Exp3B.6|Exp3B.2|Exp3B.5|Exp3B.1|Exp3B.3","|Exp4B.5|Exp4B.6|Exp4B.7|Exp4B.4|Exp4B.1|Exp4B.2|Exp4B.3",2,"B",801,"adults",NA,NA
"49","49","deeper","deeper","deeper","No!","No!","to find out which cliff wendi has to jump and what shape of object she likes",29,49,100,0,28,28,26,41,18,43,100,90,90,90,89,100,100,30,100,49,0,0,0,50,100,100,100,28,51,100,59,66,29,37,19,100,22,51,100,81,35,51,24,0,0,"Wendi's favorite gelato flavor is sea salt caramel",0,51,"female","|Exp1A.6|Exp1A.4|Exp1A.5|Exp1A.3|Exp1A.1|Exp1A.2|Exp1A.7","|Exp2A.3|Exp2A.4|Exp2A.1|Exp2A.5|Exp2A.2","|Exp3A.4|Exp3A.3|Exp3A.7|Exp3A.2|Exp3A.1|Exp3A.6|Exp3A.5","|Exp4A.2|Exp4A.3|Exp4A.7|Exp4A.5|Exp4A.4|Exp4A.6|Exp4A.1",3,"A",726,"adults",NA,NA
"50","50","deeper","deeper","deeper","No!","No!","To figure out which items Wendi likes and which cliffs she will jump.",29,50,96,29,47,50,56,72,72,81,60,74,83,85,92,93,98,31,98,49,0,3,7,49,88,90,99,29,49,96,42,37,28,24,18,99,21,50,98,80,55,27,3,5,0,"Wendi's favorite gelato flavor is sea salt caramel",0,34,"female","|Exp1A.6|Exp1A.1|Exp1A.5|Exp1A.7|Exp1A.4|Exp1A.2|Exp1A.3","|Exp2A.1|Exp2A.4|Exp2A.2|Exp2A.5|Exp2A.3","|Exp3A.5|Exp3A.4|Exp3A.1|Exp3A.7|Exp3A.6|Exp3A.3|Exp3A.2","|Exp4A.5|Exp4A.1|Exp4A.3|Exp4A.7|Exp4A.2|Exp4A.4|Exp4A.6",3,"A",604,"adults",NA,NA
"51","51","deeper","deeper","deeper","No!","No!","To find out which objects Wendy likes and which cliffs she will jump over.",70,51,0,70,66,NA,53,41,28,31,34,31,19,25,13,10,16,32,99,51,79,75,67,51,33,32,37,70,51,8,64,71,64,70,72,95,32,51,0,22,21,51,65,79,100,"Wendi's favorite gelato flavor is sea salt caramel",0,41,"female","|Exp1B.2|Exp1B.4|Exp1B.1|Exp1B.7|Exp1B.6|Exp1B.5|Exp1B.3","|Exp2B.3|Exp2B.4|Exp2B.5|Exp2B.2|Exp2B.1","|Exp3B.3|Exp3B.6|Exp3B.4|Exp3B.7|Exp3B.5|Exp3B.2|Exp3B.1","|Exp4B.5|Exp4B.3|Exp4B.1|Exp4B.2|Exp4B.6|Exp4B.7|Exp4B.4",3,"B",688,"adults",NA,NA
"52","52","deeper","deeper","deeper","No!","No!","To judge which things wendi likes and which cliffs she will jump over",72,51,0,57,77,78,74,73,61,69,17,17,25,24,35,21,23,32,100,50,79,86,80,50,51,28,24,73,50,0,63,73,72,71,73,100,23,49,0,6,29,23,72,80,95,"Wendi's favorite gelato flavor is sea salt caramel.",1,38,"male","|Exp1B.4|Exp1B.1|Exp1B.5|Exp1B.6|Exp1B.2|Exp1B.7|Exp1B.3","|Exp2B.4|Exp2B.3|Exp2B.5|Exp2B.2|Exp2B.1","|Exp3B.7|Exp3B.5|Exp3B.3|Exp3B.4|Exp3B.1|Exp3B.2|Exp3B.6","|Exp4B.6|Exp4B.5|Exp4B.2|Exp4B.3|Exp4B.7|Exp4B.1|Exp4B.4",1,"B",549,"adults",NA,NA
"53","53","deeper","deeper","deeper","No!","No!","Will wendi jump or not.",29,51,100,0,39,33,42,66,51,100,55,57,69,72,100,78,100,32,100,51,0,0,3,51,100,100,100,30,51,100,40,37,30,58,33,100,31,51,100,0,66,51,18,100,0,"Wendi's favorite gelato flavor is sea salt caramel",0,38,"male","|Exp1A.1|Exp1A.7|Exp1A.2|Exp1A.3|Exp1A.6|Exp1A.5|Exp1A.4","|Exp2A.1|Exp2A.5|Exp2A.3|Exp2A.2|Exp2A.4","|Exp3A.7|Exp3A.1|Exp3A.3|Exp3A.4|Exp3A.6|Exp3A.5|Exp3A.2","|Exp4A.5|Exp4A.1|Exp4A.3|Exp4A.6|Exp4A.2|Exp4A.4|Exp4A.7",2,"A",1250,"adults",NA,NA
"54","54","deeper","deeper","deeper","No!","No!","To figure out which things she likes and which cliffs she will jump.",30,50,100,42,41,51,51,58,51,51,100,76,88,82,96,89,95,32,100,49,9,5,23,73,75,71,90,30,51,100,28,33,28,37,27,100,23,51,96,73,58,38,5,5,0,"Wendi's favorite gelato flavor is sea salt caramel.",1,41,"female","|Exp1A.6|Exp1A.4|Exp1A.5|Exp1A.7|Exp1A.1|Exp1A.3|Exp1A.2","|Exp2A.4|Exp2A.1|Exp2A.3|Exp2A.5|Exp2A.2","|Exp3A.5|Exp3A.3|Exp3A.7|Exp3A.6|Exp3A.4|Exp3A.2|Exp3A.1","|Exp4A.1|Exp4A.5|Exp4A.2|Exp4A.7|Exp4A.3|Exp4A.6|Exp4A.4",2,"A",561,"adults",NA,NA
"55","55","deeper","deeper","deeper","No!","No!","to determine what wendi wants to jump over and determine which objects she likes",74,51,2,39,50,73,48,43,51,48,4,1,32,19,10,30,45,30,99,51,100,100,75,51,26,28,30,71,51,0,61,69,74,73,88,100,26,51,0,0,22,51,59,59,100,"Wendi's favorite gelato flavor is sea salt caramel",0,34,"female","|Exp1B.7|Exp1B.6|Exp1B.5|Exp1B.3|Exp1B.1|Exp1B.4|Exp1B.2","|Exp2B.2|Exp2B.4|Exp2B.3|Exp2B.1|Exp2B.5","|Exp3B.6|Exp3B.3|Exp3B.4|Exp3B.1|Exp3B.5|Exp3B.2|Exp3B.7","|Exp4B.4|Exp4B.3|Exp4B.2|Exp4B.7|Exp4B.1|Exp4B.6|Exp4B.5",1,"B",413,"adults",NA,NA
"56","56","deeper","deeper","deeper","No!","No!","To find out what she likes and which cliffs she wil ljump over.",30,50,100,50,50,45,32,27,17,10,50,71,57,85,65,88,40,31,100,49,5,17,31,69,69,77,75,27,50,100,49,31,39,31,17,100,2,50,90,76,67,53,54,14,0,"Wendi's favorite gelato flavor is sea salt caramel",0,32,"male","|Exp1A.3|Exp1A.6|Exp1A.2|Exp1A.1|Exp1A.7|Exp1A.5|Exp1A.4","|Exp2A.4|Exp2A.1|Exp2A.2|Exp2A.5|Exp2A.3","|Exp3A.6|Exp3A.7|Exp3A.5|Exp3A.2|Exp3A.3|Exp3A.4|Exp3A.1","|Exp4A.2|Exp4A.4|Exp4A.3|Exp4A.1|Exp4A.6|Exp4A.5|Exp4A.7",3,"A",497,"adults",NA,NA
"57","57","deeper","deeper","deeper","No!","No!","to figure out what Wendy likes and which cliffs she will jump to get what she likes",71,50,0,85,70,60,65,50,29,0,38,30,42,20,16,7,0,32,100,50,100,100,78,50,41,32,30,70,50,0,59,65,71,70,70,100,24,50,0,1,0,30,43,79,87,"Wendi's favorite gelato flavor is sea salt caramel",0,27,"male","|Exp1B.2|Exp1B.3|Exp1B.5|Exp1B.1|Exp1B.6|Exp1B.4|Exp1B.7","|Exp2B.4|Exp2B.5|Exp2B.2|Exp2B.3|Exp2B.1","|Exp3B.3|Exp3B.1|Exp3B.2|Exp3B.5|Exp3B.4|Exp3B.6|Exp3B.7","|Exp4B.2|Exp4B.1|Exp4B.4|Exp4B.6|Exp4B.5|Exp4B.7|Exp4B.3",2,"B",2456,"adults",NA,NA
"58","58","deeper","deeper","deeper","No!","No!","To find out which cliffs she prefer to jump and which objects she likes most.",71,50,10,79,79,65,71,63,65,59,40,33,30,36,17,10,10,33,100,51,100,77,80,51,39,18,10,71,51,10,70,71,78,75,84,96,21,51,0,3,9,23,65,80,94,"Wendi's favorite gelato flavor is sea salt caramel",0,33,"female","|Exp1B.1|Exp1B.6|Exp1B.5|Exp1B.4|Exp1B.7|Exp1B.2|Exp1B.3","|Exp2B.1|Exp2B.3|Exp2B.2|Exp2B.5|Exp2B.4","|Exp3B.3|Exp3B.2|Exp3B.7|Exp3B.1|Exp3B.4|Exp3B.5|Exp3B.6","|Exp4B.6|Exp4B.4|Exp4B.1|Exp4B.7|Exp4B.2|Exp4B.3|Exp4B.5",2,"B",854,"adults",NA,NA
"59","59","deeper","deeper","deeper","No!","No!","To figure out what cliff and object Wendy likes.",30,51,92,7,9,29,69,51,71,72,51,71,51,91,71,93,92,31,90,51,12,31,12,51,71,70,89,29,51,91,31,30,29,30,14,97,25,51,79,66,36,51,51,22,8,"Wendi's favorite gelato flavor is sea salt caramel",0,43,"female","|Exp1A.5|Exp1A.1|Exp1A.2|Exp1A.7|Exp1A.3|Exp1A.4|Exp1A.6","|Exp2A.2|Exp2A.1|Exp2A.5|Exp2A.4|Exp2A.3","|Exp3A.5|Exp3A.1|Exp3A.2|Exp3A.6|Exp3A.4|Exp3A.7|Exp3A.3","|Exp4A.2|Exp4A.1|Exp4A.7|Exp4A.6|Exp4A.3|Exp4A.5|Exp4A.4",1,"A",1288,"adults",NA,NA
"60","60","deeper","deeper","deeper","No!","No!","figure out what wendi likes and what cliffs she jumps",30,50,100,51,56,61,62,63,70,79,59,85,80,88,82,91,100,32,100,51,0,0,27,51,72,75,100,30,51,100,35,30,30,29,21,100,29,51,100,76,67,44,0,0,0,"Wendi's favorite gelato flavor is sea salt camarel",2,30,"male","|Exp1A.7|Exp1A.2|Exp1A.5|Exp1A.3|Exp1A.6|Exp1A.4|Exp1A.1","|Exp2A.2|Exp2A.3|Exp2A.4|Exp2A.1|Exp2A.5","|Exp3A.6|Exp3A.1|Exp3A.7|Exp3A.3|Exp3A.4|Exp3A.5|Exp3A.2","|Exp4A.2|Exp4A.3|Exp4A.4|Exp4A.7|Exp4A.1|Exp4A.6|Exp4A.5",2,"A",653,"adults",NA,NA
