"","ID","CC1","CC2","CC3","CC4","CC5","CC6","Exp1.CC1","Exp1.CC2","Exp1.CC3","X1_Exp1.Test.Jump","X2_Exp1.Test.Jump","X3_Exp1.Test.Jump","X4_Exp1.Test.Jump","X5_Exp1.Test.Jump","X6_Exp1.Test.Jump","X7_Exp1.Test.Jump","X1_Exp1.Test.Fall","X2_Exp1.Test.Fall","X3_Exp1.Test.Fall","X4_Exp1.Test.Fall","X5_Exp1.Test.Fall","X6_Exp1.Test.Fall","X7_Exp1.Test.Fall","Exp2.CC1","Exp2.CC2","Exp2.CC3","X1_Exp2.Test","X2_Exp2.Test","X3_Exp2.Test","X4_Exp2.Test","X5_Exp2.Test","X6_Exp2.Test","X7_Exp2.Test","Exp3.CC1","Exp3.CC2","Exp3.CC3","X1_Exp3.Test","X2_Exp3.Test","X3_Exp3.Test","X4_Exp3.Test","X5_Exp3.Test","Exp4.CC1","Exp4.CC2","Exp4.CC3","X1_Exp4.Test","X2_Exp4.Test","X3_Exp4.Test","X4_Exp4.Test","X5_Exp4.Test","X6_Exp4.Test","X7_Exp4.Test","AC","AC_check","Age","Sex","Order_Exps1","Order_Exp2","Order_Exp3","Order_Exp4","Order_Exps","Version","Duration","group","Age_Months","Age_Years"
"61","61","deeper","deeper","deeper","No!","No!","My job is to know what Wendy likes and what Wendy would jump over",31,51,94,11,36,65,81,76,86,96,58,51,98,98,99,100,100,31,100,51,3,4,2,52,99,100,100,30,51,100,51,62,32,65,41,100,20,51,65,25,33,34,34,78,76,"Wendi's favorite gelato flavor is sea salt caramel",0,25,"female","|Exp1A.2|Exp1A.4|Exp1A.3|Exp1A.5|Exp1A.1|Exp1A.7|Exp1A.6","|Exp2A.1|Exp2A.4|Exp2A.2|Exp2A.5|Exp2A.3","|Exp3A.1|Exp3A.5|Exp3A.3|Exp3A.7|Exp3A.4|Exp3A.6|Exp3A.2","|Exp4A.3|Exp4A.5|Exp4A.1|Exp4A.4|Exp4A.2|Exp4A.7|Exp4A.6",2,"A",1086,"adults",NA,NA
"62","62","deeper","deeper","deeper","No!","No!","To find which cliffs wendi wants to jump and which objects she likes",30,50,91,30,44,59,70,76,85,91,29,45,59,70,76,85,91,30,87,50,0,10,10,66,87,86,87,29,50,91,44,44,39,44,19,94,11,50,93,79,35,20,34,19,0,"Wendi's favorite gelato flavor is sea salt caramel",0,29,"male","|Exp1A.4|Exp1A.5|Exp1A.6|Exp1A.2|Exp1A.1|Exp1A.7|Exp1A.3","|Exp2A.3|Exp2A.5|Exp2A.2|Exp2A.4|Exp2A.1","|Exp3A.4|Exp3A.2|Exp3A.6|Exp3A.7|Exp3A.5|Exp3A.1|Exp3A.3","|Exp4A.4|Exp4A.6|Exp4A.7|Exp4A.3|Exp4A.5|Exp4A.2|Exp4A.1",3,"A",408,"adults",NA,NA
"63","63","deeper","deeper","deeper","No!","No!","watch videos and answer questions about what Wendy likes and what cliffs she will jump",30,50,100,31,31,63,71,91,92,85,50,62,79,81,92,95,100,32,100,51,11,31,26,47,71,69,79,29,50,100,44,32,28,20,21,100,27,51,80,72,51,35,22,19,0,"Wendi's favorite gelato flavor is sea salt caramel",0,40,"male","|Exp1A.2|Exp1A.5|Exp1A.1|Exp1A.6|Exp1A.7|Exp1A.3|Exp1A.4","|Exp2A.2|Exp2A.5|Exp2A.3|Exp2A.1|Exp2A.4","|Exp3A.7|Exp3A.4|Exp3A.5|Exp3A.3|Exp3A.6|Exp3A.2|Exp3A.1","|Exp4A.3|Exp4A.2|Exp4A.7|Exp4A.4|Exp4A.5|Exp4A.1|Exp4A.6",1,"A",507,"adults",NA,NA
"64","64","deeper","deeper","deeper","No!","No!","figure out which objects wendi likes by seeing which cliffs she jumps over",71,50,0,41,45,41,34,34,24,19,37,32,31,17,17,0,0,32,100,50,75,70,75,50,33,30,31,71,50,0,61,71,71,67,76,100,0,50,0,1,14,20,36,72,89,"Wendi's favorite gelato flavor is sea salt caramel",0,37,"male","|Exp1B.5|Exp1B.7|Exp1B.3|Exp1B.1|Exp1B.4|Exp1B.6|Exp1B.2","|Exp2B.2|Exp2B.3|Exp2B.5|Exp2B.4|Exp2B.1","|Exp3B.1|Exp3B.2|Exp3B.7|Exp3B.6|Exp3B.3|Exp3B.5|Exp3B.4","|Exp4B.7|Exp4B.4|Exp4B.6|Exp4B.5|Exp4B.3|Exp4B.2|Exp4B.1",1,"B",546,"adults",NA,NA
"65","65","deeper","deeper","deeper","No!","No!","Figure out which objects Wendi likes and which cliffs she will jump",71,51,9,20,24,48,41,71,63,83,9,43,41,32,56,51,71,32,91,51,12,16,24,51,72,88,70,71,51,8,38,39,61,37,69,96,23,51,1,9,27,52,75,78,89,"Wendi's favorite gelato flavor is sea salt caramel",0,31,"male","|Exp1B.4|Exp1B.2|Exp1B.6|Exp1B.7|Exp1B.5|Exp1B.1|Exp1B.3","|Exp2B.3|Exp2B.5|Exp2B.1|Exp2B.2|Exp2B.4","|Exp3B.1|Exp3B.3|Exp3B.2|Exp3B.7|Exp3B.6|Exp3B.5|Exp3B.4","|Exp4B.6|Exp4B.4|Exp4B.2|Exp4B.5|Exp4B.3|Exp4B.7|Exp4B.1",3,"B",597,"adults",NA,NA
"66","66","deeper","deeper","deeper","No!","No!","to see what cliffs and objects wendi likes",71,51,6,84,91,94,72,65,67,55,51,19,57,8,32,9,4,31,97,51,99,88,68,51,27,33,12,71,51,2,69,56,81,70,58,94,30,51,1,15,22,59,51,70,94,"Wendi's favorite gelato flavor is sea salt caramel",0,48,"female","|Exp1B.2|Exp1B.5|Exp1B.7|Exp1B.3|Exp1B.1|Exp1B.4|Exp1B.6","|Exp2B.1|Exp2B.4|Exp2B.3|Exp2B.5|Exp2B.2","|Exp3B.6|Exp3B.2|Exp3B.5|Exp3B.3|Exp3B.7|Exp3B.4|Exp3B.1","|Exp4B.2|Exp4B.1|Exp4B.4|Exp4B.7|Exp4B.6|Exp4B.5|Exp4B.3",2,"B",451,"adults",NA,NA
"67","67","deeper","deeper","deeper","No!","No!","figure out which objects Wendy likes",72,51,0,86,71,59,51,51,28,6,70,55,51,43,30,13,1,32,100,50,100,96,96,50,6,0,1,72,51,0,32,51,51,62,72,100,23,51,0,18,24,51,72,81,80,"Wendi's favorite gelato flavor is sea salt caramel",0,36,"male","|Exp1B.2|Exp1B.4|Exp1B.5|Exp1B.7|Exp1B.3|Exp1B.1|Exp1B.6","|Exp2B.5|Exp2B.2|Exp2B.4|Exp2B.3|Exp2B.1","|Exp3B.7|Exp3B.3|Exp3B.6|Exp3B.2|Exp3B.1|Exp3B.5|Exp3B.4","|Exp4B.5|Exp4B.2|Exp4B.6|Exp4B.3|Exp4B.1|Exp4B.7|Exp4B.4",2,"B",473,"adults",NA,NA
"68","68","deeper","deeper","deeper","No!","No!"," figure out what Wendi likes and what cliffs she will jump over",31,51,100,36,33,40,57,58,72,62,53,43,59,62,85,94,94,31,100,51,26,20,24,56,78,78,84,31,51,100,71,51,65,43,57,100,26,51,92,72,57,44,38,8,11,"Wendi's favorite gelato flavor is sea salt caramel ",1,32,"male","|Exp1A.3|Exp1A.1|Exp1A.7|Exp1A.5|Exp1A.6|Exp1A.4|Exp1A.2","|Exp2A.4|Exp2A.2|Exp2A.1|Exp2A.3|Exp2A.5","|Exp3A.6|Exp3A.3|Exp3A.1|Exp3A.5|Exp3A.2|Exp3A.7|Exp3A.4","|Exp4A.1|Exp4A.5|Exp4A.6|Exp4A.7|Exp4A.3|Exp4A.4|Exp4A.2",1,"A",455,"adults",NA,NA
"69","69","deeper","deeper","deeper","No!","No!","To help Wendy get over the cliffs.",30,51,94,30,23,30,33,51,51,29,93,93,91,92,94,92,92,32,94,51,12,9,32,36,90,51,93,26,51,95,29,19,27,28,8,100,17,51,37,66,32,29,14,11,3,"Wendi's favorite gelato flavor is sea salt caramel.",1,58,"female","|Exp1A.4|Exp1A.6|Exp1A.1|Exp1A.7|Exp1A.5|Exp1A.3|Exp1A.2","|Exp2A.1|Exp2A.4|Exp2A.2|Exp2A.3|Exp2A.5","|Exp3A.1|Exp3A.2|Exp3A.6|Exp3A.3|Exp3A.5|Exp3A.7|Exp3A.4","|Exp4A.7|Exp4A.2|Exp4A.3|Exp4A.1|Exp4A.6|Exp4A.5|Exp4A.4",3,"A",743,"adults",NA,NA
"70","70","deeper","deeper","deeper","No!","No!","to figure out which objects wendy likes by learning which cliffs she will jump over to reach the objects",71,51,0,87,68,86,58,80,40,40,24,30,18,0,20,0,0,31,100,49,51,51,50,51,51,51,51,71,51,0,71,70,71,71,71,100,5,50,0,5,21,36,7,65,100,"Wendi's favorite gelato flavor is sea salt caramel",0,29,"female","|Exp1B.3|Exp1B.7|Exp1B.5|Exp1B.4|Exp1B.1|Exp1B.6|Exp1B.2","|Exp2B.2|Exp2B.1|Exp2B.4|Exp2B.3|Exp2B.5","|Exp3B.5|Exp3B.6|Exp3B.1|Exp3B.2|Exp3B.3|Exp3B.4|Exp3B.7","|Exp4B.3|Exp4B.5|Exp4B.1|Exp4B.4|Exp4B.7|Exp4B.2|Exp4B.6",1,"B",383,"adults",NA,NA
"71","71","deeper","deeper","deeper","No!","No!","help jump",32,52,100,37,31,73,35,72,72,26,9,7,8,19,51,30,31,30,94,52,91,91,100,73,33,29,51,31,51,93,10,29,28,7,9,94,29,52,0,20,31,51,70,82,98,"Wendi's favorite gelato flavor is sea salt caramel",0,45,"male","|Exp1A.5|Exp1A.2|Exp1A.7|Exp1A.4|Exp1A.1|Exp1A.6|Exp1A.3","|Exp2A.4|Exp2A.3|Exp2A.5|Exp2A.2|Exp2A.1","|Exp3A.6|Exp3A.5|Exp3A.4|Exp3A.7|Exp3A.1|Exp3A.3|Exp3A.2","|Exp4A.3|Exp4A.1|Exp4A.6|Exp4A.4|Exp4A.2|Exp4A.5|Exp4A.7",2,"A",2795,"adults",NA,NA
"72","72","deeper","deeper","deeper","No!","No!","to determine what objects she likes and which cliffs she will jump",72,51,5,51,51,51,51,51,51,51,46,31,31,23,19,18,4,33,90,51,78,79,79,51,21,19,16,72,51,6,61,72,72,73,84,96,16,51,1,7,20,54,65,79,97,"Wendi's favorite gelato flavor is sea salt caramel",0,60,"female","|Exp1B.7|Exp1B.6|Exp1B.5|Exp1B.2|Exp1B.5|Exp1B.2|Exp1B.3|Exp1B.1|Exp1B.4","|Exp2B.4|Exp2B.3|Exp2B.5|Exp2B.1|Exp2B.2","|Exp3B.2|Exp3B.6|Exp3B.5|Exp3B.1|Exp3B.4|Exp3B.7|Exp3B.3","|Exp4B.7|Exp4B.2|Exp4B.6|Exp4B.1|Exp4B.5|Exp4B.4|Exp4B.3",3,"B",617,"adults",NA,NA
"73","73","deeper","deeper","deeper","No!","No!","Figure out which objects Wendi likes so that she can jump cliffs to retrieve the objects",30,50,92,29,30,41,51,58,71,72,51,71,43,51,66,94,82,33,90,50,7,34,32,51,67,73,81,30,51,92,29,30,31,29,30,94,23,51,91,76,35,51,24,14,13,"Wendi's favorite gelato flavor is sea salt caramel. ",2,30,"male","|Exp1A.6|Exp1A.4|Exp1A.3|Exp1A.2|Exp1A.5|Exp1A.1|Exp1A.7","|Exp2A.1|Exp2A.4|Exp2A.5|Exp2A.3|Exp2A.2","|Exp3A.3|Exp3A.7|Exp3A.1|Exp3A.4|Exp3A.5|Exp3A.6|Exp3A.2","|Exp4A.2|Exp4A.6|Exp4A.1|Exp4A.7|Exp4A.4|Exp4A.3|Exp4A.5",3,"A",2389,"adults",NA,NA
"74","74","deeper","deeper","deeper","No!","No!","To determine which things Wendi likes and which cliffs she'll jump",29,51,92,29,30,29,29,30,28,30,91,91,92,92,92,92,91,31,91,51,31,31,31,51,69,67,69,29,51,93,31,50,30,28,31,94,20,51,94,95,51,51,21,15,0,"Wendi's favorite gelato flavor is sea salt caramel",0,49,"female","|Exp1A.2|Exp1A.5|Exp1A.1|Exp1A.4|Exp1A.7|Exp1A.6|Exp1A.3","|Exp2A.2|Exp2A.5|Exp2A.3|Exp2A.1|Exp2A.4","|Exp3A.5|Exp3A.7|Exp3A.4|Exp3A.6|Exp3A.2|Exp3A.6|Exp3A.4|Exp3A.7|Exp3A.5|Exp3A.7|Exp3A.4|Exp3A.6|Exp3A.2|Exp3A.1|Exp3A.3","|Exp4A.1|Exp4A.6|Exp4A.5|Exp4A.7|Exp4A.3|Exp4A.4|Exp4A.2",2,"A",639,"adults",NA,NA
"75","75","deeper","deeper","deeper","No!","No!","Find out what she likes and which cliff shes going to jump ",30,51,94,31,31,65,72,81,63,78,32,35,93,75,97,81,98,31,100,51,5,10,38,18,69,51,51,30,51,92,51,42,51,59,57,100,0,51,25,24,39,51,64,78,100,"Wendi's favorite gelato flavor is sea salt caramel ",1,23,"male","|Exp1A.7|Exp1A.6|Exp1A.3|Exp1A.4|Exp1A.2|Exp1A.1|Exp1A.5","|Exp2A.1|Exp2A.3|Exp2A.2|Exp2A.4|Exp2A.5","|Exp3A.1|Exp3A.7|Exp3A.4|Exp3A.6|Exp3A.3|Exp3A.5|Exp3A.2","|Exp4A.1|Exp4A.5|Exp4A.6|Exp4A.3|Exp4A.7|Exp4A.4|Exp4A.2",3,"A",377,"adults",NA,NA
"76","76","deeper","deeper","deeper","No!","No!","To figure which objects Wendi will jump over cliffs to get",30,50,100,25,37,42,45,58,56,78,51,60,68,68,78,82,95,30,100,51,20,27,33,50,66,74,76,29,51,100,45,33,34,24,24,100,21,51,90,65,43,39,12,15,2,"Wendi's favorite gelato flavor is sea salt caramel",0,58,"male","|Exp1A.2|Exp1A.6|Exp1A.7|Exp1A.1|Exp1A.3|Exp1A.4|Exp1A.5","|Exp2A.3|Exp2A.2|Exp2A.1|Exp2A.4|Exp2A.5","|Exp3A.2|Exp3A.5|Exp3A.4|Exp3A.3|Exp3A.7|Exp3A.1|Exp3A.6","|Exp4A.3|Exp4A.6|Exp4A.5|Exp4A.7|Exp4A.1|Exp4A.4|Exp4A.2",1,"A",757,"adults",NA,NA
"77","77","deeper","deeper","deeper","No!","No!","Figure out which objects she likes and which cliffs she will jump. ",71,50,7,87,79,56,50,51,30,30,41,46,29,27,28,7,2,32,95,50,93,72,68,50,35,24,24,71,51,9,63,66,71,77,84,96,31,51,6,18,21,27,53,68,96,"Wendi's favorite gelato flavor is sea salt caramel ",1,32,"female","|Exp1B.4|Exp1B.6|Exp1B.3|Exp1B.1|Exp1B.5|Exp1B.2|Exp1B.7","|Exp2B.3|Exp2B.1|Exp2B.4|Exp2B.2|Exp2B.5","|Exp3B.3|Exp3B.6|Exp3B.4|Exp3B.2|Exp3B.5|Exp3B.1|Exp3B.7","|Exp4B.1|Exp4B.3|Exp4B.6|Exp4B.7|Exp4B.4|Exp4B.5|Exp4B.2",2,"B",625,"adults",NA,NA
"78","78","deeper","deeper","deeper","No!","No!","To figure out what Wendi likes and what cliffs she will jump over",29,50,100,6,22,32,39,62,91,100,64,65,68,70,89,100,100,32,100,51,0,0,0,51,71,82,100,30,50,100,42,30,27,9,1,100,24,51,80,78,65,51,52,23,6,"Wendi's favorite gelato flavor is sea salt caramel",0,41,"female","|Exp1A.7|Exp1A.3|Exp1A.4|Exp1A.1|Exp1A.5|Exp1A.2|Exp1A.6","|Exp2A.1|Exp2A.4|Exp2A.3|Exp2A.5|Exp2A.2","|Exp3A.7|Exp3A.6|Exp3A.2|Exp3A.5|Exp3A.1|Exp3A.3|Exp3A.4","|Exp4A.4|Exp4A.2|Exp4A.5|Exp4A.7|Exp4A.6|Exp4A.1|Exp4A.3",1,"A",493,"adults",NA,NA
"79","79","deeper","deeper","deeper","No!","No!","To determine if Wendi will jump cliffs for the items",70,50,3,62,63,61,51,56,45,45,44,36,46,33,24,28,9,31,95,50,97,80,76,51,47,27,16,71,50,0,66,59,77,76,72,97,8,50,4,29,7,37,61,84,96,"Wendi's favorite gelato flavor is sea salt caramel",0,38,"male","|Exp1B.3|Exp1B.6|Exp1B.2|Exp1B.7|Exp1B.1|Exp1B.4|Exp1B.5","|Exp2B.5|Exp2B.2|Exp2B.1|Exp2B.4|Exp2B.3","|Exp3B.3|Exp3B.1|Exp3B.4|Exp3B.5|Exp3B.6|Exp3B.7|Exp3B.2","|Exp4B.1|Exp4B.5|Exp4B.7|Exp4B.3|Exp4B.6|Exp4B.4|Exp4B.2",2,"B",1190,"adults",NA,NA
"80","80","deeper","deeper","deeper","No!","No!","To find out what Wendi likes and what cliffs she will jump over.",70,51,0,50,40,38,30,30,25,29,29,30,16,9,5,0,0,30,100,51,100,100,91,51,15,17,0,71,51,0,70,71,76,81,86,100,22,51,6,15,21,37,51,65,79,"Wendi's favorite gelato flavor is sea salt caramel.",1,59,"male","|Exp1B.1|Exp1B.6|Exp1B.1|Exp1B.6|Exp1B.3|Exp1B.4|Exp1B.5|Exp1B.2|Exp1B.7","|Exp2B.2|Exp2B.1|Exp2B.5|Exp2B.4|Exp2B.3","|Exp3B.1|Exp3B.5|Exp3B.4|Exp3B.3|Exp3B.7|Exp3B.6|Exp3B.2","|Exp4B.1|Exp4B.7|Exp4B.3|Exp4B.6|Exp4B.2|Exp4B.4|Exp4B.5",3,"B",606,"adults",NA,NA
"81","81","deeper","deeper","deeper","No!","No!","To determine which object Wendi like",73,49,5,73,74,65,32,8,30,0,30,29,54,5,2,8,1,32,90,50,100,76,72,50,34,32,10,71,51,6,69,68,80,80,91,94,22,51,98,80,61,46,24,13,3,"Wendi's favorite gelato flavor is sea salt caramel",0,25,"male","|Exp1B.5|Exp1B.7|Exp1B.1|Exp1B.6|Exp1B.2|Exp1B.3|Exp1B.4","|Exp2B.2|Exp2B.1|Exp2B.3|Exp2B.5|Exp2B.4","|Exp3B.5|Exp3B.2|Exp3B.7|Exp3B.1|Exp3B.4|Exp3B.3|Exp3B.6","|Exp4B.1|Exp4B.4|Exp4B.6|Exp4B.2|Exp4B.3|Exp4B.5|Exp4B.7",1,"B",14493,"adults",NA,NA
"82","82","deeper","deeper","deeper","No!","No!","To determine which cliff Wendi want to jump and which object he likes.",31,49,95,4,35,69,39,93,74,93,29,68,73,77,94,99,97,32,100,48,12,29,29,51,67,74,73,30,50,94,33,51,52,15,48,95,22,48,1,27,31,44,76,82,93,"Wendi's favorite gelato flavor is sea salt caramel",0,27,"male","|Exp1A.7|Exp1A.2|Exp1A.5|Exp1A.6|Exp1A.4|Exp1A.1|Exp1A.3","|Exp2A.2|Exp2A.5|Exp2A.3|Exp2A.1|Exp2A.4","|Exp3A.6|Exp3A.1|Exp3A.2|Exp3A.4|Exp3A.3|Exp3A.7|Exp3A.5","|Exp4A.6|Exp4A.5|Exp4A.3|Exp4A.2|Exp4A.4|Exp4A.7|Exp4A.1",2,"A",9398,"adults",NA,NA
"83","83","deeper","deeper","deeper","No!","No!","To figure out what Wendi likes to use when Wendi jumps cliffs",29,50,100,49,49,50,79,70,84,87,90,89,91,91,96,89,91,32,100,50,0,1,0,50,98,99,98,30,51,91,42,30,32,30,21,94,5,50,94,79,54,8,8,4,5,"Wendi's favorite gelato flavor is sea salt caramel",0,44,"male","|Exp1A.1|Exp1A.2|Exp1A.3|Exp1A.5|Exp1A.6|Exp1A.7|Exp1A.4","|Exp2A.2|Exp2A.4|Exp2A.1|Exp2A.5|Exp2A.3","|Exp3A.4|Exp3A.2|Exp3A.6|Exp3A.5|Exp3A.1|Exp3A.3|Exp3A.7","|Exp4A.1|Exp4A.5|Exp4A.2|Exp4A.3|Exp4A.6|Exp4A.4|Exp4A.7",3,"A",845,"adults",NA,NA
"84","84","deeper","deeper","deeper","No!","No!","To figure out which things Wendi likes and which cliffs she will jump over.",31,51,100,51,31,31,10,14,0,0,72,72,81,82,93,100,100,33,100,52,0,0,9,51,79,100,100,31,51,100,51,31,22,30,16,100,22,51,100,81,51,23,23,5,0,"Wendi's favorite gelato flavor is sea salt caramel",0,43,"female","|Exp1A.2|Exp1A.7|Exp1A.1|Exp1A.5|Exp1A.3|Exp1A.4|Exp1A.6","|Exp2A.4|Exp2A.1|Exp2A.5|Exp2A.2|Exp2A.3","|Exp3A.2|Exp3A.5|Exp3A.6|Exp3A.3|Exp3A.7|Exp3A.1|Exp3A.4","|Exp4A.3|Exp4A.6|Exp4A.1|Exp4A.5|Exp4A.7|Exp4A.4|Exp4A.2",2,"A",706,"adults",NA,NA
"85","85","deeper","deeper","deeper","No!","No!","Determine if wendi likes certain cliffs and shapes",30,52,100,100,52,29,44,30,31,5,53,77,78,74,80,81,100,33,99,52,76,100,77,52,10,76,32,28,54,100,75,52,19,65,31,100,25,53,100,87,73,53,47,36,8,"Wendi's favorite gelato flavor is sea salt carmel",1,34,"male","|Exp1A.4|Exp1A.3|Exp1A.2|Exp1A.1|Exp1A.7|Exp1A.5|Exp1A.6","|Exp2A.2|Exp2A.5|Exp2A.3|Exp2A.4|Exp2A.1","|Exp3A.6|Exp3A.5|Exp3A.7|Exp3A.2|Exp3A.1|Exp3A.4|Exp3A.3","|Exp4A.1|Exp4A.2|Exp4A.3|Exp4A.7|Exp4A.5|Exp4A.4|Exp4A.6",1,"A",2731,"adults",NA,NA
"86","86","deeper","deeper","deeper","No!","No!","TO figure out what Wendi likes and what cliffs she wants to jump. ",72,51,0,84,72,62,57,18,33,28,49,51,37,51,0,0,8,33,100,51,99,88,86,51,21,13,21,71,51,0,58,58,66,82,76,100,21,51,0,18,51,51,58,83,97,"Wendi's favorite gelato flavor is sea salt caramel",0,30,"male","|Exp1B.7|Exp1B.5|Exp1B.3|Exp1B.6|Exp1B.4|Exp1B.1|Exp1B.2","|Exp2B.4|Exp2B.3|Exp2B.2|Exp2B.1|Exp2B.5","|Exp3B.7|Exp3B.2|Exp3B.3|Exp3B.6|Exp3B.1|Exp3B.5|Exp3B.4","|Exp4B.6|Exp4B.5|Exp4B.2|Exp4B.4|Exp4B.7|Exp4B.1|Exp4B.3",3,"B",365,"adults",NA,NA
"87","87","deeper","deeper","deeper","No!","No!","To predict if wendi will jump over a cliff. ",70,51,9,94,85,69,68,48,32,51,51,68,30,11,28,10,9,32,91,51,100,98,91,23,26,18,15,72,51,5,72,73,51,52,33,100,21,51,100,79,79,51,36,7,0,"Wendi's favorite gelato flavor is sea salt caramel",0,30,"female","|Exp1B.4|Exp1B.6|Exp1B.5|Exp1B.7|Exp1B.3|Exp1B.2|Exp1B.1","|Exp2B.3|Exp2B.5|Exp2B.1|Exp2B.2|Exp2B.4","|Exp3B.6|Exp3B.3|Exp3B.1|Exp3B.7|Exp3B.5|Exp3B.2|Exp3B.4","|Exp4B.1|Exp4B.4|Exp4B.3|Exp4B.7|Exp4B.6|Exp4B.2|Exp4B.5",3,"B",32042,"adults",NA,NA
"88","88","deeper","deeper","deeper","No!","No!","to determine which cliffs wendi will jump",72,50,0,92,49,29,30,0,1,0,0,32,30,0,30,0,0,32,100,50,100,100,69,71,30,0,0,72,50,0,50,72,71,71,72,100,22,50,1,0,28,34,66,79,100,"Wendi's favorite gelato flavor is sea salt caramel",0,34,"female","|Exp1B.2|Exp1B.7|Exp1B.1|Exp1B.3|Exp1B.4|Exp1B.5|Exp1B.6","|Exp2B.4|Exp2B.5|Exp2B.2|Exp2B.1|Exp2B.3","|Exp3B.5|Exp3B.2|Exp3B.7|Exp3B.6|Exp3B.1|Exp3B.3|Exp3B.4","|Exp4B.1|Exp4B.7|Exp4B.2|Exp4B.3|Exp4B.4|Exp4B.5|Exp4B.6",2,"B",489,"adults",NA,NA
"89","89","deeper","deeper","deeper","No!","No!","what cliffs wendi likes to jump",73,51,0,94,92,94,88,12,0,0,42,48,54,51,3,0,1,32,100,51,69,21,16,79,20,83,72,71,51,0,74,51,72,67,86,100,30,51,100,86,66,51,23,6,0,"Wedi's favorite gelato flavor is sea salt caramel",1,42,"male","|Exp1B.1|Exp1B.5|Exp1B.4|Exp1B.2|Exp1B.7|Exp1B.3|Exp1B.6","|Exp2B.3|Exp2B.4|Exp2B.2|Exp2B.1|Exp2B.5","|Exp3B.6|Exp3B.3|Exp3B.5|Exp3B.4|Exp3B.7|Exp3B.2|Exp3B.1","|Exp4B.1|Exp4B.2|Exp4B.5|Exp4B.7|Exp4B.6|Exp4B.4|Exp4B.3",1,"B",1065,"adults",NA,NA
"90","90","deeper","deeper","deeper","No!","No!","to find out which items wendi likes and which cliffs wendi is willing to jump",29,51,91,0,27,34,67,52,62,92,51,51,64,87,73,97,93,31,89,51,9,8,10,51,92,92,89,30,51,98,71,31,39,28,37,94,29,51,100,86,81,65,51,35,0,"Wendi's favorite gelato flavor is sea salt caramel",0,37,"female","|Exp1A.4|Exp1A.1|Exp1A.5|Exp1A.6|Exp1A.7|Exp1A.3|Exp1A.2","|Exp2A.2|Exp2A.5|Exp2A.1|Exp2A.3|Exp2A.4","|Exp3A.5|Exp3A.4|Exp3A.6|Exp3A.3|Exp3A.1|Exp3A.2|Exp3A.7","|Exp4A.7|Exp4A.2|Exp4A.4|Exp4A.6|Exp4A.1|Exp4A.3|Exp4A.5",2,"A",664,"adults",NA,NA
"91","91","deeper","deeper","deeper","No!","No!","To figure out which cliffs Wendi is willing to jump for the objects",30,51,100,16,17,28,13,23,1,12,54,68,61,75,88,98,94,31,100,50,4,12,23,43,72,77,81,29,51,100,64,43,57,39,24,99,1,51,100,73,68,56,23,13,2,"Wendi's favorite gelato flavor is sea salt caramel",0,39,"female","|Exp1A.7|Exp1A.5|Exp1A.6|Exp1A.2|Exp1A.1|Exp1A.3|Exp1A.4","|Exp2A.1|Exp2A.5|Exp2A.2|Exp2A.3|Exp2A.4","|Exp3A.5|Exp3A.3|Exp3A.7|Exp3A.2|Exp3A.1|Exp3A.6|Exp3A.4","|Exp4A.2|Exp4A.6|Exp4A.5|Exp4A.1|Exp4A.4|Exp4A.3|Exp4A.7",1,"A",455,"adults",NA,NA
